claim_id,proposal_page,proposal_claim,claim_type,evaluator_can_check,check_location,current_actual_state,contradiction_status,severity,required_action,evidence_file,final_status
CLM-012,6,Evidence Pack으로 근거를 추적한다,AI 생성,Y,AI Builder,동일 구조화 Evidence 객체에서 Evidence Pack을 생성함,MATCH,BLOCKER,대표 시나리오 생성 테스트 유지,tests/test_builder_outputs.py,VERIFIED
CLM-013,2,AI 설계가정 A01~A07을 사실 근거와 분리한다,AI 생성,Y,AI Builder 출력,A01~A07과 AI Design Assumption class가 유지됨,MATCH,HIGH,산출물 자동검사 유지,tests/test_builder_outputs.py,VERIFIED
CLM-014,10,Proposal·Brief·Evidence Pack 등 5종 출력을 제공한다,기능,Y,AI Builder,Proposal MD·Brief MD·Evidence Pack MD·Proposal PDF·Brief PDF 생성 경로 존재,MATCH,BLOCKER,API 키 없는 생성·다운로드 테스트 유지,tests/test_builder_outputs.py,VERIFIED
CLM-015,8,구조적 Citation 214/214를 검증한다,Citation,Y,기존 README·AI 검증,제출 후 baseline 3개 파일의 47회 구조검사가 전체 검증과 같은 KPI처럼 노출됨,DIRECT_CONFLICT,HIGH,현재 세션 검사와 제출 기준을 분리하고 원시 진단은 보존,artifacts/ai_upgrade/citation_audit_summary.json,RESOLVED_SCOPE_SEPARATED
CLM-016,8,Claim-Citation 120쌍 의미검수와 Cohen kappa 0.81을 수행한다,Citation,Y,기존 README·검증 문서,제출 후 내부 진단의 사람 판정 모집단이 제출 주장과 동일하지 않음,DIRECT_CONFLICT,HIGH,제출 후 진단을 공개 KPI에서 제외하고 범위 고지,artifacts/ai_upgrade/citation_audit_summary.json,RESOLVED_SCOPE_SEPARATED
CLM-017,7,동일모델 A/B/C 10사례·30출력을 비교한다,AI 생성,Y,기존 README·AI 검증,제출 후 외부모델 실행 레코드가 미실행 상태로 같은 화면에 노출됨,DIRECT_CONFLICT,HIGH,제출 후 하네스 기록을 제출 KPI와 분리,artifacts/ai_upgrade/controlled_experiment_summary.json,RESOLVED_SCOPE_SEPARATED
CLM-018,5,르완다 기술환경에너지 대표 흐름과 점수 65.28을 제시한다,UI,Y,앱 순위·AI Builder,르완다 점수 65.28과 해당 시나리오가 존재함,MATCH,HIGH,기능 회귀 테스트 유지,KODA_master_score_top50_v21.csv,VERIFIED
CLM-019,10,Live Demo와 공개 GitHub를 QR로 제공한다,배포,Y,제출 PDF 10페이지·앱 배포 탭,두 실제 URL이 표시되고 로그인 없이 목적지가 열림,MATCH,BLOCKER,URL·QR 생성 테스트 유지,artifacts/screening/live_access_check.json,VERIFIED
CLM-020,10,API 키 없이 핵심 Evidence Pack·출력 경로가 작동한다,기능,Y,앱 AI Builder,OPENAI_API_KEY 없는 Local RAG fallback과 PDF 생성이 작동함,MATCH,BLOCKER,AppTest 회귀검사 유지,tests/test_app_runtime_smoke.py,VERIFIED
CLM-021,1,앱과 README가 같은 공개 KPI를 제시한다,GitHub 문서,Y,앱 개요·README,기존에는 앱과 README가 상충 진단값을 별도 하드코딩함,DIRECT_CONFLICT,HIGH,canonical_public_kpis.json 단일 기준 적용,artifacts/screening/canonical_public_kpis.json,RESOLVED
CLM-022,4-8,제출 후 검증 산출물과 제출 대조 KPI의 범위가 구분된다,GitHub 문서,Y,artifacts/ai_upgrade·docs 심층 파일,원시 진단 파일에는 제출 이후 다른 모집단의 상세 값이 보존됨,SCOPE_DIFFERENCE,MEDIUM,원시 파일을 변경하지 않고 디렉터리 README와 공개 manifest로 범위 구분,artifacts/ai_upgrade/README.md,DOCUMENTED_POST_SUBMISSION
