query_id,split,retrieval_mode,query_type,expected_chunk_ids,answer_rank,top_returned_chunks,failure_reason
GOLD-UKR_HEALTH-DIRECT_KEYWORD,dev,embedding,direct_keyword,CPS-UKR-p17-01,not_in_top_k,CPS-UKR-p26-01|CPS-UKR-p17-02|CPS-UKR-p21-01|CPS-KGZ-p24-01|CPS-UKR-p29-01,expected chunk not returned in frozen Top-K
GOLD-UKR_HEALTH-POLICY_ALIGNMENT,dev,embedding,policy_alignment,CPS-UKR-p17-01,not_in_top_k,CPS-UKR-p21-01|CPS-UKR-p20-02|CPS-UKR-p11-02|CPS-UKR-p02-02|CPS-UKR-p26-01,expected chunk not returned in frozen Top-K
GOLD-UZB_TECH-CROSS_LANGUAGE,dev,embedding,cross_language,CPS-UZB-p12-01,not_in_top_k,CPS-MNG-p16-01|CPS-UZB-p18-01|CPS-BGD-p05-01|CPS-EGY-p06-01|CPS-BGD-p16-01,expected chunk not returned in frozen Top-K
GOLD-BGD_ENERGY-NEGATIVE_COUNTRY,dev,hybrid,negative_country,,not_applicable,CPS-VNM-p20-01|CPS-BGD-p07-01|CPS-VNM-p15-01|CPS-VNM-p08-01|CPS-PER-p09-01,negative query returned one or more chunks
GOLD-IDN_TECH-CROSS_LANGUAGE,dev,hybrid,cross_language,CPS-IDN-p11-01,not_in_top_k,CPS-IDN-p17-01|CPS-IDN-p23-01|CPS-IDN-p26-02|CPS-IDN-p26-01|CPS-PHL-p18-01,expected chunk not returned in frozen Top-K
GOLD-KHM_WATER-NEGATIVE_SECTOR,dev,hybrid,negative_sector,,not_applicable,CPS-KHM-p18-01|CPS-KHM-p10-01|CPS-KHM-p17-01|CPS-KHM-p20-01|CPS-KHM-p11-01,negative query returned one or more chunks
GOLD-LAO_ENERGY-NEGATIVE_COUNTRY,dev,hybrid,negative_country,,not_applicable,CPS-VNM-p15-01|CPS-VNM-p21-01|CPS-VNM-p34-02|CPS-VNM-p20-01|CPS-VNM-p16-01,negative query returned one or more chunks
GOLD-BGD_ENERGY-NEGATIVE_COUNTRY,dev,hybrid_filtered,negative_country,,not_applicable,CPS-VNM-p20-01|CPS-VNM-p15-01|CPS-VNM-p08-01|CPS-VNM-p16-01|CPS-VNM-p09-01,negative query returned one or more chunks
GOLD-KHM_WATER-NEGATIVE_SECTOR,dev,hybrid_filtered,negative_sector,,not_applicable,CPS-KHM-p18-01,negative query returned one or more chunks
GOLD-LAO_ENERGY-NEGATIVE_COUNTRY,dev,hybrid_filtered,negative_country,,not_applicable,CPS-VNM-p15-01|CPS-VNM-p21-01|CPS-VNM-p34-02|CPS-VNM-p20-01|CPS-VNM-p16-01,negative query returned one or more chunks
GOLD-BOL_HEALTH-NEGATIVE_SECTOR,test,lexical,negative_sector,,not_applicable,CPS-BOL-p15-01|CPS-BOL-p07-01|CPS-BOL-p16-01|CPS-BOL-p25-01|CPS-BOL-p25-02,negative query returned one or more chunks
GOLD-COL_TECH-NEGATIVE_COUNTRY,test,lexical,negative_country,,not_applicable,CPS-PER-p15-01|CPS-PER-p05-01|CPS-PER-p11-01|CPS-PER-p12-01|CPS-PER-p19-01,negative query returned one or more chunks
GOLD-ETH_HEALTH-NEGATIVE_COUNTRY,test,lexical,negative_country,,not_applicable,CPS-GHA-p10-01|CPS-GHA-p34-01|CPS-GHA-p14-01|CPS-GHA-p13-01|CPS-GHA-p21-01,negative query returned one or more chunks
GOLD-GHA_ENERGY-NEGATIVE_SECTOR,test,lexical,negative_sector,,not_applicable,CPS-GHA-p08-01|CPS-GHA-p23-01|CPS-GHA-p15-01|CPS-GHA-p16-01|CPS-GHA-p21-02,negative query returned one or more chunks
GOLD-IDN_TECH-NEGATIVE_COUNTRY,test,lexical,negative_country,,not_applicable,CPS-PHL-p13-01|CPS-PHL-p18-01|CPS-PHL-p22-01|CPS-PHL-p10-01|CPS-PHL-p30-01,negative query returned one or more chunks
GOLD-IND_TECH-NEGATIVE_SECTOR,test,lexical,negative_sector,,not_applicable,CPS-IND-p20-01|CPS-IND-p05-01|CPS-IND-p12-01|CPS-IND-p13-01|CPS-IND-p04-01,negative query returned one or more chunks
GOLD-KGZ_ADMIN-NEGATIVE_COUNTRY,test,lexical,negative_country,,not_applicable,CPS-UZB-p17-01|CPS-UZB-p27-01|CPS-UZB-p10-01|CPS-UZB-p07-01|CPS-UZB-p30-02,negative query returned one or more chunks
GOLD-LKA_HEALTH-NEGATIVE_SECTOR,test,lexical,negative_sector,,not_applicable,CPS-LKA-p21-01|CPS-LKA-p17-01|CPS-LKA-p29-01|CPS-LKA-p20-01|CPS-LKA-p09-01,negative query returned one or more chunks
GOLD-BGD_ENERGY-DIRECT_KEYWORD,test,embedding,direct_keyword,CPS-BGD-p11-01,not_in_top_k,CPS-BGD-p05-01|CPS-BGD-p14-01|CPS-BGD-p24-01|CPS-BGD-p16-01|CPS-BGD-p33-01,expected chunk not returned in frozen Top-K
GOLD-BGD_ENERGY-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-BGD-p11-01,not_in_top_k,CPS-IDN-p27-01|CPS-LAO-p13-01|CPS-LAO-p12-01|CPS-PAK-p11-01|CPS-IND-p24-01,expected chunk not returned in frozen Top-K
GOLD-BGD_ENERGY-CROSS_LANGUAGE,test,embedding,cross_language,CPS-BGD-p11-01,not_in_top_k,CPS-BGD-p19-01|CPS-BGD-p15-01|CPS-BGD-p33-01|CPS-BGD-p14-01|CPS-BGD-p05-01,expected chunk not returned in frozen Top-K
GOLD-BOL_HEALTH-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-BOL-p12-01,not_in_top_k,CPS-PRY-p12-01|CPS-UKR-p26-01|CPS-SEN-p28-02|CPS-UGA-p18-01|CPS-UGA-p17-01,expected chunk not returned in frozen Top-K
GOLD-BOL_HEALTH-NEGATIVE_SECTOR,test,embedding,negative_sector,,not_applicable,CPS-PRY-p12-01|CPS-UKR-p26-01|CPS-SEN-p28-02|CPS-UGA-p18-01|CPS-UGA-p17-01,negative query returned one or more chunks
GOLD-COL_TECH-DIRECT_KEYWORD,test,embedding,direct_keyword,CPS-COL-p09-01,not_in_top_k,CPS-COL-p21-01|CPS-COL-p16-01|CPS-COL-p17-01|CPS-COL-p13-01|CPS-COL-p03-01,expected chunk not returned in frozen Top-K
GOLD-COL_TECH-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-COL-p09-01,not_in_top_k,CPS-EGY-p06-01|CPS-LKA-p29-01|CPS-TJK-p19-01|CPS-IND-p25-01|CPS-IDN-p29-01,expected chunk not returned in frozen Top-K
GOLD-COL_TECH-CROSS_LANGUAGE,test,embedding,cross_language,CPS-COL-p09-01,not_in_top_k,CPS-COL-p21-01|CPS-COL-p16-01|CPS-COL-p13-01|CPS-COL-p17-01|CPS-COL-p22-01,expected chunk not returned in frozen Top-K
GOLD-COL_TECH-NEGATIVE_COUNTRY,test,embedding,negative_country,,not_applicable,CPS-EGY-p06-01|CPS-LKA-p29-01|CPS-TJK-p19-01|CPS-IND-p25-01|CPS-IDN-p29-01,negative query returned one or more chunks
GOLD-EGY_EDU-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-EGY-p19-01,not_in_top_k,CPS-LKA-p18-01|CPS-RWA-p22-01|CPS-NPL-p05-01|CPS-MMR-p20-01|CPS-NPL-p09-01,expected chunk not returned in frozen Top-K
GOLD-EGY_EDU-POLICY_ALIGNMENT,test,embedding,policy_alignment,CPS-EGY-p19-01,not_in_top_k,CPS-EGY-p02-02|CPS-EGY-p09-01|CPS-EGY-p08-01|CPS-EGY-p02-01|CPS-EGY-p26-01,expected chunk not returned in frozen Top-K
GOLD-EGY_EDU-NEGATIVE_SECTOR,test,embedding,negative_sector,,not_applicable,CPS-LKA-p18-01|CPS-RWA-p22-01|CPS-NPL-p05-01|CPS-MMR-p20-01|CPS-NPL-p09-01,negative query returned one or more chunks
GOLD-ETH_HEALTH-DIRECT_KEYWORD,test,embedding,direct_keyword,CPS-ETH-p13-01,not_in_top_k,CPS-ETH-p18-01|CPS-ETH-p19-01|CPS-ETH-p27-01|CPS-ETH-p06-01|CPS-UGA-p17-01,expected chunk not returned in frozen Top-K
GOLD-ETH_HEALTH-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-ETH-p13-01,not_in_top_k,CPS-PRY-p12-01|CPS-NPL-p23-01|CPS-UGA-p17-01|CPS-NPL-p24-01|CPS-SEN-p28-02,expected chunk not returned in frozen Top-K
GOLD-ETH_HEALTH-CROSS_LANGUAGE,test,embedding,cross_language,CPS-ETH-p13-01,not_in_top_k,CPS-ETH-p18-01|CPS-ETH-p19-01|CPS-ETH-p27-01|CPS-NPL-p17-01|CPS-ETH-p06-01,expected chunk not returned in frozen Top-K
GOLD-ETH_HEALTH-POLICY_ALIGNMENT,test,embedding,policy_alignment,CPS-ETH-p13-01,not_in_top_k,CPS-ETH-p27-01|CPS-ETH-p18-01|CPS-TZA-p13-01|CPS-ETH-p19-01|CPS-ETH-p22-01,expected chunk not returned in frozen Top-K
GOLD-ETH_HEALTH-NEGATIVE_COUNTRY,test,embedding,negative_country,,not_applicable,CPS-PRY-p12-01|CPS-NPL-p23-01|CPS-UGA-p17-01|CPS-NPL-p24-01|CPS-SEN-p28-02,negative query returned one or more chunks
GOLD-GHA_ENERGY-DIRECT_KEYWORD,test,embedding,direct_keyword,CPS-GHA-p09-01,not_in_top_k,CPS-GHA-p18-01|CPS-TJK-p23-01|CPS-GHA-p17-01|CPS-GHA-p22-01|CPS-MMR-p18-01,expected chunk not returned in frozen Top-K
GOLD-GHA_ENERGY-CROSS_LANGUAGE,test,embedding,cross_language,CPS-GHA-p09-01,not_in_top_k,CPS-TZA-p19-01|CPS-GHA-p22-01|CPS-ETH-p07-01|CPS-SEN-p31-01|CPS-TJK-p23-01,expected chunk not returned in frozen Top-K
GOLD-GHA_ENERGY-NEGATIVE_SECTOR,test,embedding,negative_sector,,not_applicable,CPS-GHA-p22-01|CPS-GHA-p17-01|CPS-GHA-p18-01|CPS-TJK-p23-01|CPS-MMR-p21-02,negative query returned one or more chunks
GOLD-IDN_TECH-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-IDN-p11-01,not_in_top_k,CPS-IDN-p23-01|CPS-GHA-p06-01|CPS-IND-p22-01|CPS-RWA-p12-02|CPS-IDN-p29-01,expected chunk not returned in frozen Top-K
GOLD-IDN_TECH-POLICY_ALIGNMENT,test,embedding,policy_alignment,CPS-IDN-p11-01,not_in_top_k,CPS-IDN-p23-01|CPS-IDN-p26-02|CPS-IDN-p02-03|CPS-IDN-p29-01|CPS-IDN-p02-01,expected chunk not returned in frozen Top-K
GOLD-IDN_TECH-NEGATIVE_COUNTRY,test,embedding,negative_country,,not_applicable,CPS-IDN-p23-01|CPS-GHA-p06-01|CPS-IND-p22-01|CPS-RWA-p12-02|CPS-IDN-p29-01,negative query returned one or more chunks
GOLD-IND_TECH-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-IND-p15-01,not_in_top_k,CPS-MNG-p24-01|CPS-IND-p33-01|CPS-COL-p13-01|CPS-GHA-p07-02|CPS-IND-p20-01,expected chunk not returned in frozen Top-K
GOLD-IND_TECH-NEGATIVE_SECTOR,test,embedding,negative_sector,,not_applicable,CPS-MNG-p24-01|CPS-IND-p33-01|CPS-COL-p13-01|CPS-GHA-p07-02|CPS-IND-p20-01,negative query returned one or more chunks
GOLD-KGZ_ADMIN-DIRECT_KEYWORD,test,embedding,direct_keyword,CPS-KGZ-p14-01,not_in_top_k,CPS-KGZ-p03-01|CPS-KGZ-p18-01|CPS-KGZ-p22-01|CPS-KGZ-p05-02|CPS-KGZ-p23-01,expected chunk not returned in frozen Top-K
GOLD-KGZ_ADMIN-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-KGZ-p14-01,not_in_top_k,CPS-GHA-p09-01|CPS-LKA-p11-01|CPS-PER-p12-01|CPS-GHA-p14-01|CPS-PHL-p10-01,expected chunk not returned in frozen Top-K
GOLD-KGZ_ADMIN-CROSS_LANGUAGE,test,embedding,cross_language,CPS-KGZ-p14-01,not_in_top_k,CPS-KGZ-p23-01|CPS-KGZ-p18-01|CPS-MNG-p21-01|CPS-KGZ-p29-01|CPS-KGZ-p11-01,expected chunk not returned in frozen Top-K
GOLD-KGZ_ADMIN-NEGATIVE_COUNTRY,test,embedding,negative_country,,not_applicable,CPS-GHA-p09-01|CPS-LKA-p11-01|CPS-PER-p12-01|CPS-GHA-p14-01|CPS-PHL-p10-01,negative query returned one or more chunks
GOLD-KHM_WATER-DIRECT_KEYWORD,test,embedding,direct_keyword,CPS-KHM-p10-01,not_in_top_k,CPS-KHM-p21-01|CPS-KHM-p15-01|CPS-KHM-p13-01|CPS-KHM-p16-01|CPS-KHM-p12-01,expected chunk not returned in frozen Top-K
GOLD-KHM_WATER-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-KHM-p10-01,not_in_top_k,CPS-LAO-p13-01|CPS-IDN-p27-01|CPS-IND-p24-01|CPS-LAO-p12-01|CPS-SEN-p27-01,expected chunk not returned in frozen Top-K
GOLD-LAO_ENERGY-DIRECT_KEYWORD,test,embedding,direct_keyword,CPS-LAO-p12-01,not_in_top_k,CPS-LAO-p14-01|CPS-MMR-p21-02|CPS-GHA-p22-01|CPS-MMR-p18-01|CPS-GHA-p18-01,expected chunk not returned in frozen Top-K
GOLD-LAO_ENERGY-CROSS_LANGUAGE,test,embedding,cross_language,CPS-LAO-p12-01,not_in_top_k,CPS-MMR-p18-01|CPS-MMR-p21-02|CPS-LAO-p17-01|CPS-LAO-p14-01|CPS-LAO-p18-01,expected chunk not returned in frozen Top-K
GOLD-LAO_ENERGY-POLICY_ALIGNMENT,test,embedding,policy_alignment,CPS-LAO-p12-01,not_in_top_k,CPS-GHA-p22-01|CPS-MMR-p21-02|CPS-GHA-p17-01|CPS-ETH-p12-01|CPS-NPL-p29-01,expected chunk not returned in frozen Top-K
GOLD-LKA_HEALTH-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-LKA-p16-01,not_in_top_k,CPS-SEN-p28-02|CPS-PRY-p12-01|CPS-UGA-p17-01|CPS-UKR-p26-01|CPS-PRY-p14-02,expected chunk not returned in frozen Top-K
GOLD-LKA_HEALTH-CROSS_LANGUAGE,test,embedding,cross_language,CPS-LKA-p16-01,not_in_top_k,CPS-NPL-p16-01|CPS-KHM-p21-02|CPS-NPL-p23-01|CPS-BGD-p19-01|CPS-TZA-p13-01,expected chunk not returned in frozen Top-K
GOLD-LKA_HEALTH-NEGATIVE_SECTOR,test,embedding,negative_sector,,not_applicable,CPS-SEN-p28-02|CPS-PRY-p12-01|CPS-UGA-p17-01|CPS-UKR-p26-01|CPS-PRY-p14-02,negative query returned one or more chunks
GOLD-MMR_EDU-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-MMR-p09-01,not_in_top_k,CPS-LKA-p18-01|CPS-BGD-p04-01|CPS-RWA-p22-01|CPS-TZA-p17-01|CPS-NPL-p05-01,expected chunk not returned in frozen Top-K
GOLD-MNG_ADMIN-DIRECT_KEYWORD,test,embedding,direct_keyword,CPS-MNG-p10-01,not_in_top_k,CPS-MNG-p15-01|CPS-MNG-p16-01|CPS-BGD-p20-01|CPS-MNG-p21-01|CPS-BGD-p16-01,expected chunk not returned in frozen Top-K
GOLD-MNG_ADMIN-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-MNG-p10-01,not_in_top_k,CPS-RWA-p05-01|CPS-RWA-p26-01|CPS-UZB-p17-01|CPS-BGD-p20-01|CPS-KGZ-p18-01,expected chunk not returned in frozen Top-K
GOLD-MNG_ADMIN-CROSS_LANGUAGE,test,embedding,cross_language,CPS-MNG-p10-01,not_in_top_k,CPS-MNG-p15-01|CPS-MNG-p21-01|CPS-MNG-p16-01|CPS-BGD-p20-01|CPS-BGD-p22-01,expected chunk not returned in frozen Top-K
GOLD-MNG_ADMIN-POLICY_ALIGNMENT,test,embedding,policy_alignment,CPS-MNG-p10-01,not_in_top_k,CPS-MNG-p16-01|CPS-MNG-p15-01|CPS-MNG-p21-01|CPS-KHM-p13-01|CPS-BGD-p20-01,expected chunk not returned in frozen Top-K
GOLD-NPL_HEALTH-DIRECT_KEYWORD,test,embedding,direct_keyword,CPS-NPL-p14-01,not_in_top_k,CPS-NPL-p24-01|CPS-NPL-p23-01|CPS-NPL-p32-01|CPS-NPL-p17-01|CPS-NPL-p15-01,expected chunk not returned in frozen Top-K
GOLD-NPL_HEALTH-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-NPL-p14-01,not_in_top_k,CPS-PRY-p12-01|CPS-NPL-p24-01|CPS-KGZ-p19-01|CPS-LAO-p15-01|CPS-UGA-p17-01,expected chunk not returned in frozen Top-K
GOLD-NPL_HEALTH-CROSS_LANGUAGE,test,embedding,cross_language,CPS-NPL-p14-01,not_in_top_k,CPS-NPL-p24-01|CPS-NPL-p32-01|CPS-NPL-p17-01|CPS-NPL-p23-01|CPS-NPL-p16-01,expected chunk not returned in frozen Top-K
GOLD-NPL_HEALTH-POLICY_ALIGNMENT,test,embedding,policy_alignment,CPS-NPL-p14-01,not_in_top_k,CPS-NPL-p24-01|CPS-NPL-p32-01|CPS-NPL-p23-01|CPS-NPL-p37-01|CPS-IND-p02-02,expected chunk not returned in frozen Top-K
GOLD-PAK_ENERGY-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-PAK-p08-01,not_in_top_k,CPS-GHA-p22-01|CPS-GHA-p18-01|CPS-GHA-p17-01|CPS-ETH-p07-01|CPS-TJK-p23-01,expected chunk not returned in frozen Top-K
GOLD-PER_CLIMATE-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-PER-p12-01,not_in_top_k,CPS-RWA-p34-01|CPS-IND-p14-01|CPS-RWA-p18-01|CPS-RWA-p26-01|CPS-RWA-p05-01,expected chunk not returned in frozen Top-K
GOLD-PER_CLIMATE-CROSS_LANGUAGE,test,embedding,cross_language,CPS-PER-p12-01,not_in_top_k,CPS-PER-p15-01|CPS-PER-p07-01|CPS-PER-p06-01|CPS-PER-p26-01|CPS-PER-p16-01,expected chunk not returned in frozen Top-K
GOLD-PER_CLIMATE-POLICY_ALIGNMENT,test,embedding,policy_alignment,CPS-PER-p12-01,not_in_top_k,CPS-PER-p07-01|CPS-PER-p15-01|CPS-PER-p06-01|CPS-PER-p26-01|CPS-PER-p03-01,expected chunk not returned in frozen Top-K
GOLD-PHL_CLIMATE-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-PHL-p13-01,not_in_top_k,CPS-IDN-p24-01|CPS-IDN-p23-01|CPS-IND-p19-01|CPS-PHL-p18-01|CPS-IDN-p27-01,expected chunk not returned in frozen Top-K
GOLD-PHL_CLIMATE-CROSS_LANGUAGE,test,embedding,cross_language,CPS-PHL-p13-01,not_in_top_k,CPS-PHL-p18-01|CPS-PHL-p31-01|CPS-PHL-p18-02|CPS-IDN-p23-01|CPS-PHL-p06-01,expected chunk not returned in frozen Top-K
GOLD-PRY_ADMIN-DIRECT_KEYWORD,test,embedding,direct_keyword,CPS-PRY-p07-01,not_in_top_k,CPS-PRY-p10-01|CPS-PER-p13-01|CPS-BGD-p22-01|CPS-PER-p25-01|CPS-BOL-p08-01,expected chunk not returned in frozen Top-K
GOLD-PRY_ADMIN-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-PRY-p07-01,not_in_top_k,CPS-RWA-p05-01|CPS-BGD-p22-01|CPS-BGD-p20-01|CPS-IDN-p16-01|CPS-RWA-p36-01,expected chunk not returned in frozen Top-K
GOLD-RWA_TECH-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-RWA-p26-01,not_in_top_k,CPS-RWA-p05-01|CPS-UZB-p17-01|CPS-IDN-p16-01|CPS-RWA-p36-01|CPS-BGD-p20-01,expected chunk not returned in frozen Top-K
GOLD-SEN_AGRI-DIRECT_KEYWORD,test,embedding,direct_keyword,CPS-SEN-p15-01,not_in_top_k,CPS-SEN-p24-01|CPS-SEN-p28-01|CPS-SEN-p23-01|CPS-SEN-p36-01|CPS-TZA-p21-01,expected chunk not returned in frozen Top-K
GOLD-SEN_AGRI-SEMANTIC_PARAPHRASE,test,embedding,semantic_paraphrase,CPS-SEN-p15-01,not_in_top_k,CPS-NPL-p10-01|CPS-NPL-p27-01|CPS-TJK-p25-01|CPS-PAK-p14-01|CPS-NPL-p28-01,expected chunk not returned in frozen Top-K
GOLD-SEN_AGRI-CROSS_LANGUAGE,test,embedding,cross_language,CPS-SEN-p15-01,not_in_top_k,CPS-SEN-p36-01|CPS-SEN-p23-01|CPS-NPL-p10-01|CPS-TZA-p21-01|CPS-SEN-p24-01,expected chunk not returned in frozen Top-K
GOLD-TJK_ENERGY-DIRECT_KEYWORD,test,embedding,direct_keyword,CPS-TJK-p29-01,not_in_top_k,CPS-TJK-p24-01|CPS-TJK-p16-01|CPS-TJK-p23-01|CPS-TJK-p13-01|CPS-TJK-p37-01,expected chunk not returned in frozen Top-K
GOLD-TJK_ENERGY-CROSS_LANGUAGE,test,embedding,cross_language,CPS-TJK-p29-01,not_in_top_k,CPS-MNG-p04-01|CPS-KGZ-p16-01|CPS-TJK-p13-01|CPS-TJK-p24-01|CPS-UZB-p06-01,expected chunk not returned in frozen Top-K
